taxi_id;indulas;idotartam;tavolsag;viteldij;borravalo;fizetes_modja
4092;2016-12-22T23:30;240;0.0;5.25;2.0;bankkártya
8232;2016-12-23T00:30;540;0.0;12.25;0.0;készpénz
5406;2016-12-23T09:30;360;0.0;6.0;0.0;készpénz
3899;2016-12-23T10:00;1560;0.0;36.5;0.0;készpénz
6923;2016-12-23T11:30;420;0.0;7.5;2.0;bankkártya
6086;2016-12-23T13:30;1080;0.0;11.5;3.75;bankkártya
3594;2016-12-23T15:30;2400;0.0;23.5;0.0;készpénz
8648;2016-12-23T16:15;300;0.0;5.5;0.0;készpénz
6569;2016-12-23T16:45;300;0.0;5.5;0.0;készpénz
8016;2016-12-23T17:15;240;0.0;4.75;0.0;készpénz
7531;2016-12-24T01:15;360;0.0;6.5;0.0;készpénz
1460;2016-12-24T18:45;300;0.0;5.25;1.0;bankkártya
1691;2016-12-24T21:15;660;0.0;10.5;0.0;készpénz
6775;2016-12-26T01:15;420;0.0;8.0;0.0;készpénz
1811;2016-12-26T13:00;360;0.0;6.75;2.0;bankkártya
3514;2016-12-26T19:45;420;0.0;7.25;0.0;készpénz
2819;2016-12-26T22:15;240;0.0;5.5;0.0;készpénz
505;2016-12-26T22:15;600;0.0;9.25;2.0;bankkártya
6544;2016-12-27T16:15;1020;0.0;12.0;0.0;készpénz
1110;2016-12-27T18:00;360;0.0;5.5;0.0;készpénz
4325;2016-12-27T23:45;420;0.0;7.0;2.0;bankkártya
2240;2016-12-28T14:45;300;0.0;5.75;0.0;készpénz
7622;2016-12-28T15:45;900;0.0;12.75;0.0;készpénz
8636;2016-12-28T17:00;420;0.0;7.0;0.0;készpénz
2240;2016-12-28T17:30;540;0.0;7.0;0.0;készpénz
4325;2016-12-29T09:00;1020;0.0;24.75;2.0;bankkártya
5901;2016-12-29T10:45;660;0.0;7.75;0.0;készpénz
5243;2016-12-29T12:15;1380;0.0;26.5;0.0;készpénz
157;2016-12-29T17:30;240;0.0;5.0;1.0;bankkártya
5856;2016-12-29T18:45;300;0.0;5.25;0.0;készpénz
5130;2016-12-29T21:00;540;0.0;7.25;0.0;készpénz
4560;2016-12-30T00:15;180;0.0;5.0;0.0;ingyenes
1098;2016-12-30T12:45;660;0.0;14.5;2.0;bankkártya
3465;2016-12-30T12:45;240;0.0;5.0;0.0;készpénz
4877;2016-12-30T12:45;300;0.0;5.75;2.0;bankkártya
8563;2016-12-30T12:45;780;0.0;9.0;0.0;készpénz
